placa,old_tag,nomecomum,codigo,genero,especie,familia,subfamilia,densidade,seq,area,inv,transecto,parcela,distancia,ns,metragem,quadra,recruit,data_morta,altura,altura_1,dap.04,mv.04,obs.04,data04,pq_f4,obs_f4,am_f4,c.05,mv.05,obs.05,pp_ne5,tombada5,am_f5,pq_f5,obs_cic5,qtotal5,data_cic5,c.06,mv.06,obs.06,pp_ne6,am_f6,pq_f6,obs_cic6,data_cic6,qtotal6,data06,dap.07,c.07,mv.07,obs.07,pp_ne7,tombada7,data_c07P,c07P,obs_c07P,c07_CP,am_f7,pq_f7,nova_placa.07,data07,dap.08,c.08,mv.08,obs.08,data08,NA.CORRECAO,Cicat,Rec,c.09,mv.09,obs.09,cicat_c09,recup_c09,am_f9,pq_f9,qt_f9,obs_cic9,data_cic9,dap.10,c.10,mv.10,obs.10,data10,dap.11,c.11,mv.11,obs.11,data11,dap.12,c.12,mv.12,obs.12,data12,dap.14,c.14,mv.14,obs.14,data14,dap.16,c.16,mv.16,obs.16,data16,dap.18,c.18,mv.18,obs.18,data18,dap.22,c.22,mv.22,obs.22,alt22,data22,equipe.22,mv.23,obs.23,data23,equipe.23,dap.24,c.24,mv.24,obs.24,data24,equipe.24
80389,,envira_vassourinha,Xylama,Xylopia,amazonica R.E.Fries,Annonaceae,,0.79,,1,10a20cm,K,A,-5,N,379.5,,r22,,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,5,v,,,11_07_2022,Ebis_Raimundo_Bat,v,,22_06_2023,Bate; Leo,12.5,5,v,,18_06_2024,Santarem_Nathalia_Maraca
80391,,cipo_falso_curare,Strxin,Strychnos,xinguensis Krukoff.,Loganiaceae,,0.54,,1,10a20cm,K,A,2.6,S,399,,r22,,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.6,2,v,bifurcado,,11_07_2022,Ebis_Raimundo_Bat,v,,22_06_2023,Bate; Leo,10.8,2,v,,18_06_2024,Santarem_Nathalia_Maraca
80392,,urucurana_folha_grande,Slosin,Sloanea,sinemariensis Aubl.,Elaeocarpaceae,,0.75,,1,10a20cm,K,A,-1.5,N,407.1,,r22,,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.8,4,v,,,11_07_2022,Ebis_Raimundo_Bat,v,,22_06_2023,Bate; Leo,11.6,5,v,,18_06_2024,Santarem_Nathalia_Maraca
80393,,mangabinha,Micege,Micropholis,egensis (A. DC.) Pierre,Sapotaceae,,0.6,,1,10a20cm,K,A,-1.6,N,411,,r22,,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,5,v,,,11_07_2022,Ebis_Raimundo_Bat,v,,22_06_2023,Bate; Leo,13.9,5,v,,18_06_2024,Santarem_Nathalia_Maraca
80394,,pau_de_cobra,Ourdis,Ouratea,discophora Ducke,Ochnaceae,,0.79,,1,10a20cm,K,A,-2.6,N,411.1,,r22,,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5,4,v,,,11_07_2022,Ebis_Raimundo_Bat,v,,22_06_2023,Bate; Leo,10.7,5,v,,18_06_2024,Santarem_Nathalia_Maraca
80395,,breu_folha_peluda,Propil,Protium,pilosissimum Engl.,Burseraceae,,0.71,,1,10a20cm,K,A,-0.5,N,435.4,,r22,2023,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5,3,v,,,11_07_2022,Ebis_Raimundo_Bat,m,ver 40868; 40887,22_06_2023,Bate; Leo,,0,m,morta,18_06_2024,Santarem_Nathalia_Maraca
80399,,envira_vassourinha,Xylama,Xylopia,amazonica R.E.Fries,Annonaceae,,0.79,,1,10a20cm,K,A,4.2,S,476.5,,r22,,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,4,v,,,11_07_2022,Ebis_Raimundo_Bat,v,,22_06_2023,Bate; Leo,11.9,5,v,,18_06_2024,Santarem_Nathalia_Maraca
80400,,aracapeua,Myrmul,Myrcia,multiflora (Lam.) DC.,Myrtaceae,,0.815,,1,10a20cm,K,A,3.5,S,485,,r22,,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.1,5,v,,,11_07_2022,Ebis_Raimundo_Bat,v,,22_06_2023,Bate; Leo,11.6,5,v,,18_06_2024,Santarem_Nathalia_Maraca
80402,,envira_de_jacu,Bocmat,Bocageopsis,mattogrossensis (R.E.Fries) R.E. Fries,Annonaceae,,0.65,,1,10a20cm,K,A,-3.6,N,494,,r22,,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.4,5,v,,,11_07_2022,Ebis_Raimundo_Bat,v,,22_06_2023,Bate; Leo,16.5,5,v,,18_06_2024,Santarem_Nathalia_Maraca
80405,,pau_sangue,Conper,Connarus,perrottetii (DC.) Planch.,Connaraceae,,0.45,,1,10a20cm,K,B,-3.7,N,500.5,,r22,,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.6,1,v,cqcr,,11_07_2022,Ebis_Raimundo_Bat,v,,29_06_2023,Antonio; Ebis,11.7,3,v,cq/cr,18_06_2024,Santarem_Nathalia_Maraca
80406,,inga_pretinho,Inghet,Inga ,heterophylla Willd.,Mimosaceae,Mimosoideae,0.56,,1,10a20cm,K,B,3,S,506.7,,r22,2024,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.4,5,v,,,11_07_2022,Ebis_Raimundo_Bat,v,,29_06_2023,Antonio; Ebis,,0,m,não encontrada,18_06_2024,Santarem_Nathalia_Maraca
80407,,taquari,Mabfis,Mabea,fistulifera Bth.,Euphorbiaceae,,0.618,,1,10a20cm,K,B,3,S,507,,r22,,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4,5,v,,,11_07_2022,Ebis_Raimundo_Bat,v,,29_06_2023,Antonio; Ebis,11.9,5,v,,18_06_2024,Santarem_Nathalia_Maraca
80410,,louro_tamanco,Neccus,Nectandra,cuspidata Nees. & Mart.,Lauraceae,,0.56,,1,10a20cm,K,B,2.8,S,513.1,,r22,,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1,5,v,,,11_07_2022,Ebis_Raimundo_Bat,v,,29_06_2023,Antonio; Ebis,10.3,5,v,,18_06_2024,Santarem_Nathalia_Maraca
80411,,taquari,Mabfis,Mabea,fistulifera Bth.,Euphorbiaceae,,0.618,,1,10a20cm,K,B,-4.5,N,516.8,,r22,,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,5,v,,,11_07_2022,Ebis_Raimundo_Bat,v,,29_06_2023,Antonio; Ebis,16.4,5,v,,18_06_2024,Santarem_Nathalia_Maraca
80412,,sardinheira,Casgra,Casearia,grandiflora Camb.,Salicaceae,,0.77,,1,10a20cm,K,B,-1.2,N,519.1,,r22,,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1,5,v,,,11_07_2022,Ebis_Raimundo_Bat,v,,29_06_2023,Antonio; Ebis,10.5,5,v,,18_06_2024,Santarem_Nathalia_Maraca
80413,,sardinheira,Casgra,Casearia,grandiflora Camb.,Salicaceae,,0.77,,1,10a20cm,K,B,-1.3,N,519.2,,r22,,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.5,5,v,,,11_07_2022,Ebis_Raimundo_Bat,v,,29_06_2023,Antonio; Ebis,12.1,5,v,,18_06_2024,Santarem_Nathalia_Maraca
80414,,sardinheira,Casgra,Casearia,grandiflora Camb.,Salicaceae,,0.77,,1,10a20cm,K,B,-1.4,N,519.3,,r22,,9.5,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.6,5,v,,,11_07_2022,Ebis_Raimundo_Bat,v,,29_06_2023,Antonio; Ebis,11.4,5,v,,18_06_2024,Santarem_Nathalia_Maraca
80415,,sardinheira,Casgra,Casearia,grandiflora Camb.,Salicaceae,,0.77,,1,10a20cm,K,B,-1.5,N,519.1,,r22,,9.5,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.9,5,v,,,11_07_2022,Ebis_Raimundo_Bat,v,,29_06_2023,Antonio; Ebis,11.7,5,v,,18_06_2024,Santarem_Nathalia_Maraca
80417,,tachi_do_campo,Tacvul,Tachigali,vulgaris L.G.Silva & H.C.Lima,Caesalpiniaceae,,0.59125,,1,10a20cm,K,B,4,S,554.3,,r22,,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.9,4,v,,,11_07_2022,Ebis_Raimundo_Bat,v,,29_06_2023,Antonio; Ebis,11,4,v,,18_06_2024,Santarem_Nathalia_Maraca
80420,,embauba_vermelha,Cecdis,Cecropia,distachya Huber,Urticaceae,,,,1,10a20cm,K,B,-4.5,N,573.4,,r22,,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.2,5,v,,,11_07_2022,Ebis_Raimundo_Bat,v,,29_06_2023,Antonio; Ebis,14.4,3,v,,18_06_2024,Santarem_Nathalia_Maraca
80423,,molia_branco,Mollep,Mollia,lepidota Spruce ex. Benth,Tiliaceae,,0.49,,1,10a20cm,K,B,3.6,S,584,,r22,,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,5,v,,,11_07_2022,Ebis_Raimundo_Bat,v,,29_06_2023,Antonio; Ebis,12.5,5,v,,18_06_2024,Santarem_Nathalia_Maraca
80424,,tachi_do_campo,Tacvul,Tachigali,vulgaris L.G.Silva & H.C.Lima,Caesalpiniaceae,,0.59125,,1,10a20cm,K,B,4.8,S,582.5,,r22,,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.1,5,v,,,11_07_2022,Ebis_Raimundo_Bat,v,,29_06_2023,Antonio; Ebis,14,5,v,,18_06_2024,Santarem_Nathalia_Maraca
80425,,molia_branco,Mollep,Mollia,lepidota Spruce ex. Benth,Tiliaceae,,0.49,,1,10a20cm,K,B,3.4,S,591.5,,r22,,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,5,v,,,11_07_2022,Ebis_Raimundo_Bat,v,,29_06_2023,Antonio; Ebis,12.5,5,v,,18_06_2024,Santarem_Nathalia_Maraca
80428,,taquari,Mabfis,Mabea,fistulifera Bth.,Euphorbiaceae,,0.618,,1,10a20cm,K,B,3.4,S,593.6,,r22,,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.3,5,v,,,11_07_2022,Ebis_Raimundo_Bat,v,,29_06_2023,Antonio; Ebis,12,5,v,,18_06_2024,Santarem_Nathalia_Maraca
80429,,molia_branco,Mollep,Mollia,lepidota Spruce ex. Benth,Tiliaceae,,0.49,,1,10a20cm,K,B,5,S,596,,r22,,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5,5,v,,,11_07_2022,Ebis_Raimundo_Bat,v,,29_06_2023,Antonio; Ebis,11.2,5,v,,18_06_2024,Santarem_Nathalia_Maraca
80430,,taquari,Mabfis,Mabea,fistulifera Bth.,Euphorbiaceae,,0.618,,1,10a20cm,K,B,-3.2,N,596,,r22,,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.9,5,v,,,11_07_2022,Ebis_Raimundo_Bat,v,,29_06_2023,Antonio; Ebis,12,5,v,,18_06_2024,Santarem_Nathalia_Maraca
80431,,tachi_do_campo,Tacvul,Tachigali,vulgaris L.G.Silva & H.C.Lima,Caesalpiniaceae,,0.59125,,1,10a20cm,K,B,-7.5,N,598.5,,r22,,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.7,5,v,,,11_07_2022,Ebis_Raimundo_Bat,v,,29_06_2023,Antonio; Ebis,26.2,5,v,,18_06_2024,Santarem_Nathalia_Maraca
80434,,capoteiro,Corbic,Cordia,bicolor A. DC.,Boraginaceae,,0.48,,1,10a20cm,K,B,5,S,609.1,,r22,,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.6,5,v,,,11_07_2022,Ebis_Raimundo_Bat,v,,29_06_2023,Antonio; Ebis,11.1,4,v,,18_06_2024,Santarem_Nathalia_Maraca
80435,,envira_folha_peluda,Xylfru,Xylopia,frutescens Aubl.Var ferruginea R. E. Fries,Annonaceae,,0.59,,1,10a20cm,K,B,-5,N,608,,r22,,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.3,5,v,,,12_07_2022,Ebis_Raimundo_Bat,v,,29_06_2023,Antonio; Ebis,12.6,5,v,,18_06_2024,Santarem_Nathalia_Maraca
80441,,sardinheira,Casgra,Casearia,grandiflora Camb.,Salicaceae,,0.77,,1,10a20cm,K,B,-1.2,N,676.8,,r22,,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,5,v,,,12_07_2022,Ebis_Raimundo_Bat,v,,29_06_2023,Antonio; Ebis,13.1,5,v,,18_06_2024,Santarem_Nathalia_Maraca
80442,,taquari,Mabfis,Mabea,fistulifera Bth.,Euphorbiaceae,,0.618,,1,10a20cm,K,B,-3.3,N,690.7,,r22,,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.3,5,v,,,12_07_2022,Ebis_Raimundo_Bat,v,,29_06_2023,Antonio; Ebis,11.8,1,v,cq/cr,18_06_2024,Santarem_Nathalia_Maraca
80443,,tatapiririca,Tapgui,Tapirira,guianensis Aubl.,Anacardiaceae,,0.457,,1,10a20cm,K,B,-1.2,N,699,,r22,,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.4,5,v,,,12_07_2022,Ebis_Raimundo_Bat,v,,29_06_2023,Antonio; Ebis,12.9,5,v,,18_06_2024,Santarem_Nathalia_Maraca
80444,,capoteiro,Corbic,Cordia,bicolor A. DC.,Boraginaceae,,0.48,,1,10a20cm,K,B,-5,N,699,,r22,,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,5,v,,,12_07_2022,Ebis_Raimundo_Bat,v,,29_06_2023,Antonio; Ebis,15.8,5,v,,18_06_2024,Santarem_Nathalia_Maraca
80445,,tatapiririca,Tapgui,Tapirira,guianensis Aubl.,Anacardiaceae,,0.457,,1,10a20cm,K,B,-3.9,N,715.5,,r22,,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.6,5,v,,,12_07_2022,Ebis_Raimundo_Bat,v,,29_06_2023,Antonio; Ebis,13.8,5,v,metra= 717.5,18_06_2024,Santarem_Nathalia_Maraca
80448,,tachi_do_campo,Tacvul,Tachigali,vulgaris L.G.Silva & H.C.Lima,Caesalpiniaceae,,0.59125,,1,10a20cm,K,B,-4,N,721,,r22,,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.2,5,v,,,12_07_2022,Ebis_Raimundo_Bat,v,,29_06_2023,Antonio; Ebis,12.5,5,v,metra= 721,18_06_2024,Santarem_Nathalia_Maraca
80450,,inga_pretinho,Inghet,Inga ,heterophylla Willd.,Mimosaceae,Mimosoideae,0.56,,1,10a20cm,K,B,-1.5,N,730.5,,r22,,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.3,5,v,,,12_07_2022,Ebis_Raimundo_Bat,v,,29_06_2023,Antonio; Ebis,12.8,5,v,metra= 730.5,18_06_2024,Santarem_Nathalia_Maraca
80451,,tachi_do_campo,Tacvul,Tachigali,vulgaris L.G.Silva & H.C.Lima,Caesalpiniaceae,,0.59125,,1,10a20cm,K,B,-5,N,740,,r22,,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.5,5,v,,,12_07_2022,Ebis_Raimundo_Bat,v,,29_06_2023,Antonio; Ebis,19.5,5,v,metra= 740,18_06_2024,Santarem_Nathalia_Maraca
80454,,sardinheira,Casgra,Casearia,grandiflora Camb.,Salicaceae,,0.77,,1,10a20cm,K,B,-1.5,N,748,,r22,,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.4,5,v,,,12_07_2022,Ebis_Raimundo_Bat,v,,29_06_2023,Antonio; Ebis,17.3,5,v,metra= 748,18_06_2024,Santarem_Nathalia_Maraca
80456,,tachi_do_campo,Tacvul,Tachigali,vulgaris L.G.Silva & H.C.Lima,Caesalpiniaceae,,0.59125,,1,10a20cm,K,B,-2.5,N,765.4,,r22,,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.7,5,v,,,12_07_2022,Ebis_Raimundo_Bat,v,,29_06_2023,Antonio; Ebis,18.5,5,v,,18_06_2024,Santarem_Nathalia_Maraca
80457,,sardinheira,Casgra,Casearia,grandiflora Camb.,Salicaceae,,0.77,,1,10a20cm,K,B,-1.5,N,784.1,,r22,,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5,5,v,,,12_07_2022,Ebis_Raimundo_Bat,v,,29_06_2023,Antonio; Ebis,15.2,5,v,,18_06_2024,Santarem_Nathalia_Maraca
80458,,tachi_do_campo,Tacvul,Tachigali,vulgaris L.G.Silva & H.C.Lima,Caesalpiniaceae,,0.59125,,1,10a20cm,K,B,2.7,S,794,,r22,,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.8,5,v,,,12_07_2022,Ebis_Raimundo_Bat,v,,29_06_2023,Antonio; Ebis,15.4,5,v,,18_06_2024,Santarem_Nathalia_Maraca
80460,,sardinheira,Casgra,Casearia,grandiflora Camb.,Salicaceae,,0.77,,1,10a20cm,K,B,3.6,S,798.4,,r22,,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.6,5,v,,,12_07_2022,Ebis_Raimundo_Bat,v,,29_06_2023,Antonio; Ebis,11.3,5,v,,18_06_2024,Santarem_Nathalia_Maraca
80461,,taquari,Mabfis,Mabea,fistulifera Bth.,Euphorbiaceae,,0.618,,1,10a20cm,K,B,-1.5,N,811,,r22,,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.3,4,v,,,12_07_2022,Ebis_Raimundo_Bat,v,,29_06_2023,Antonio; Ebis,11.5,5,v,,18_06_2024,Santarem_Nathalia_Maraca
80463,,tatapiririca,Tapgui,Tapirira,guianensis Aubl.,Anacardiaceae,,0.457,,1,10a20cm,K,B,4.2,S,814.5,,r22,,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.6,5,v,,,12_07_2022,Ebis_Raimundo_Bat,v,,29_06_2023,Antonio; Ebis,14.9,5,v,,18_06_2024,Santarem_Nathalia_Maraca
80466,,louro_tamanco,Neccus,Nectandra,cuspidata Nees. & Mart.,Lauraceae,,0.56,,1,10a20cm,K,B,-4,N,826,,r22,2023,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,1,v,,,12_07_2022,Ebis_Raimundo_Bat,m,,29_06_2023,Antonio; Ebis,,0,m,morta,18_06_2024,Santarem_Nathalia_Maraca
80467,,sardinheira,Casgra,Casearia,grandiflora Camb.,Salicaceae,,0.77,,1,10a20cm,K,B,3.4,S,838,,r22,,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1,5,v,bifurcado,,12_07_2022,Ebis_Raimundo_Bat,v,,29_06_2023,Antonio; Ebis,11.5,5,v,,18_06_2024,Santarem_Nathalia_Maraca
80468,,sardinheira,Casgra,Casearia,grandiflora Camb.,Salicaceae,,0.77,,1,10a20cm,K,B,3.5,S,838,,r22,,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.3,5,v,bifurcado,,12_07_2022,Ebis_Raimundo_Bat,v,,29_06_2023,Antonio; Ebis,12,5,v,,18_06_2024,Santarem_Nathalia_Maraca
80469,,tachi_do_campo,Tacvul,Tachigali,vulgaris L.G.Silva & H.C.Lima,Caesalpiniaceae,,0.59125,,1,10a20cm,K,B,-1,N,841,,r22,,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.4,5,v,,,12_07_2022,Ebis_Raimundo_Bat,v,,29_06_2023,Antonio; Ebis,16,5,v,,18_06_2024,Santarem_Nathalia_Maraca
80470,,xua,Sacgui,Sacoglottis,guianensis Benth. Var. guianensis,Humiriaceae,,0.84,,1,10a20cm,K,B,-4.4,N,848,,r22,,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.7,5,v,,,12_07_2022,Ebis_Raimundo_Bat,v,,29_06_2023,Antonio; Ebis,11.8,5,v,,18_06_2024,Santarem_Nathalia_Maraca
80474,,taquari,Mabfis,Mabea,fistulifera Bth.,Euphorbiaceae,,0.618,,1,10a20cm,K,B,4.3,S,866,,r22,,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4,5,v,,,12_07_2022,Ebis_Raimundo_Bat,v,,29_06_2023,Antonio; Ebis,11.5,5,v,,19_06_2024,Santarem_Nathalia_Maraca_Leo_Paulo
80475,,sardinheira,Casgra,Casearia,grandiflora Camb.,Salicaceae,,0.77,,1,10a20cm,K,B,-4.3,N,869,,r22,,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.3,5,v,,,12_07_2022,Ebis_Raimundo_Bat,v,,29_06_2023,Antonio; Ebis,13.1,5,v,,19_06_2024,Santarem_Nathalia_Maraca_Leo_Paulo
80477,,tachi_do_campo,Tacvul,Tachigali,vulgaris L.G.Silva & H.C.Lima,Caesalpiniaceae,,0.59125,,1,10a20cm,K,B,2.6,S,873.5,,r22,,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.7,5,v,,,12_07_2022,Ebis_Raimundo_Bat,v,,29_06_2023,Antonio; Ebis,20.5,5,v,,19_06_2024,Santarem_Nathalia_Maraca_Leo_Paulo
